Адрес,Индекс,Регион,Широта,Долгота,Население
"Респ Адыгея, г Адыгейск",385200.0,Адыгея,44.878414,39.190289,12689
г Майкоп,385000.0,Адыгея,44.6098268,40.1006606,144055
г Горно-Алтайск,649000.0,Алтай,51.9581028,85.9603235,62861
"Алтайский край, г Алейск",658125.0,Алтайский,52.4922513,82.7793606,28528
г Барнаул,656000.0,Алтайский,53.3479968,83.7798064,635585
"Алтайский край, г Белокуриха",659900.0,Алтайский,51.996152,84.9839604,15072
"Алтайский край, г Бийск",659300.0,Алтайский,52.5393864,85.2138453,203826
"Алтайский край, г Горняк",658420.0,Алтайский,50.9979622,81.4643358,13040
"Алтайский край, г Заринск",659100.0,Алтайский,53.7063476,84.9315081,47035
"Алтайский край, г Змеиногорск",658480.0,Алтайский,51.1581094,82.1872547,10569
"Алтайский край, г Камень-на-Оби",658700.0,Алтайский,53.7913974,81.3545053,41787
"Алтайский край, г Новоалтайск",658041.0,Алтайский,53.4119759,83.9311069,73134
"Алтайский край, г Рубцовск",658200.0,Алтайский,51.5012067,81.2078695,146386
"Алтайский край, г Славгород",658820.0,Алтайский,52.999463,78.6459232,30370
"Алтайский край, г Яровое",658837.0,Алтайский,52.9252146,78.5729775,18085
"Амурская обл, г Белогорск",676805.0,Амурская,50.9213415,128.4739471,68220
г Благовещенск,675000.0,Амурская,50.290659,127.527198,214397
"Амурская обл, г Завитинск",676870.0,Амурская,50.1064111,129.4391813,11481
"Амурская обл, г Зея",676151.0,Амурская,53.7340088,127.265787,25042
"Амурская обл, г Райчихинск",676770.0,Амурская,49.7941615,129.4112492,20499
"Амурская обл, г Свободный",676450.0,Амурская,51.3614103,128.1219729,58594
"Амурская обл, г Сковородино",676011.0,Амурская,53.9871095,123.9437205,9561
"Амурская обл, г Тында",676280.0,Амурская,55.1546441,124.7468904,35574
"Амурская обл, г Циолковский",676470.0,Амурская,51.762481,128.1219846,6208
"Амурская обл, г Шимановск",676301.0,Амурская,52.0051886,127.7005458,19815
г Архангельск,163000.0,Архангельская,64.5394289,40.5169606,348716
"Архангельская обл, г Вельск",165150.0,Архангельская,61.066,42.1032789,23885
"Архангельская обл, г Каргополь",164110.0,Архангельская,61.5009724,38.9636966,10148
"Архангельская обл, г Коряжма",165650.0,Архангельская,61.2885948,47.1003015,39629
"Архангельская обл, г Котлас",165300.0,Архангельская,61.2528972,46.633242,60562
"Архангельская обл, г Мезень",164750.0,Архангельская,65.8398078,44.2532273,3599
"Архангельская обл, г Мирный",164170.0,Архангельская,62.7645265,40.3360076,30259
"Архангельская обл, г Новодвинск",164900.0,Архангельская,64.4136851,40.8208143,40612
"Архангельская обл, г Няндома",164200.0,Архангельская,61.6654674,40.2062947,22354
"Архангельская обл, г Онега",164840.0,Архангельская,63.9162928,38.0805031,21359
"Архангельская обл, г Северодвинск",164500.0,Архангельская,64.5625385,39.8180934,192265
"Архангельская обл, Котласский р-н, г Сольвычегодск",165330.0,Архангельская,61.3319616,46.920441,2460
"Архангельская обл, г Шенкурск",165160.0,Архангельская,62.1057272,42.8996973,5702
г Астрахань,414000.0,Астраханская,46.3655652,48.0559236,520662
"Астраханская обл, г Ахтубинск",416500.0,Астраханская,48.2752034,46.1906462,41898
"Астраханская обл, г Знаменск",416540.0,Астраханская,48.5866291,45.7368019,29357
"Астраханская обл, г Камызяк",416340.0,Астраханская,46.110579,48.07333,16291
